aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_afname;voorspelde_capaciteit_afname;wachtrij_afname;unieke_verzoeken_afname;afname_beperking;afname_tso_limiet;aanwezige_transportcapaciteit_invoeding;benodigde_transportcapaciteit_invoeding;voorspelde_capaciteit_invoeding;wachtrij_invoeding;unieke_verzoeken_invoeding;opwek_beperking;opwek_tso_limiet;start;eind;jaar;kwartaal;info;congestiegebied;jaartal_opgelost_afname;jaartal_opgelost_invoeding;congestie_url
;;;;;;;361,0;782,0;;1304,0;7,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Drenthe;;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-drenthe
702,0;611,0;;930,0;5,0;;;376,0;512,0;;774,0;4,0;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
805,0;765,0;;930,0;5,0;;;376,0;524,0;;774,0;4,0;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;1576,0;975,0;;219,0;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
;;;;;;;1069,0;941,0;;219,0;;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
3180,0;4179,0;;1339,0;9,0;;;2976,0;4404,0;;1538,0;9,0;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
3180,0;4549,0;;1339,0;9,0;;;2976,0;4654,0;;1538,0;9,0;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
2319,0;2627,0;;910,0;7,0;;;;;;;;;;;;2028,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
;;;;;;;361,0;687,0;;1304,0;7,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Drenthe;;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-drenthe
7000,0;4260,0;;2517,0;22,0;;;;;;;;;;;;2035,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
;;;;;;;700,0;293,0;;;;;;;;2033,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;699,0;1081,0;;219,0;;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
;;;;;;;1110,0;636,0;;350,0;3,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Hengelo;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
702,0;619,0;;930,0;5,0;;;376,0;490,0;;774,0;4,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;699,0;911,0;;219,0;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
3900,0;3055,0;;2517,0;22,0;;;2336,0;1861,0;;1994,0;13,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
7000,0;4118,0;;2517,0;22,0;;;;;;;;;;;;2034,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
370,0;314,0;;20,0;;;;370,0;232,0;;;;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;361,0;693,0;;1304,0;7,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Drenthe;;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-drenthe
2282,0;2833,0;;2517,0;22,0;;;1611,0;2148,0;;1994,0;13,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
;;;;;;;1110,0;689,0;;350,0;3,0;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Hengelo;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
3000,0;3608,0;;1339,0;9,0;;;2613,0;3576,0;;1538,0;9,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
6000,0;3976,0;;2517,0;22,0;;;;;;;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
702,0;622,0;;930,0;5,0;;;376,0;518,0;;774,0;4,0;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
2319,0;2986,0;;910,0;7,0;;;;;;;;;;;;2031,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
3900,0;3287,0;;2517,0;22,0;;;2789,0;2052,0;;1994,0;13,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
805,0;807,0;;930,0;5,0;;;680,0;554,0;;774,0;4,0;;;;;2034,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;675,0;541,0;;350,0;3,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Hengelo;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
742,0;554,0;;930,0;5,0;;;376,0;447,0;;774,0;4,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
716,0;723,0;;1301,0;11,0;;;;;;;;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Haven van Rotterdam;2032,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
4500,0;2208,0;;1793,0;10,0;;;;;;;;;;;;2035,0;;;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
742,0;590,0;;930,0;5,0;;;376,0;472,0;;774,0;4,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
370,0;213,0;;20,0;;;;370,0;227,0;;;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
3900,0;3560,0;;2517,0;22,0;;;2789,0;2216,0;;1994,0;13,0;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
3900,0;3692,0;;2517,0;22,0;;;2789,0;2309,0;;1994,0;13,0;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
;;;;;;;1146,0;975,0;;219,0;;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
;;;;;;;700,0;264,0;;;;;;;;2035,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;700,0;281,0;;;;;;;;2030,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;509,0;778,0;;1304,0;7,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Drenthe;;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-drenthe
3000,0;3877,0;;1339,0;9,0;;;2613,0;4062,0;;1538,0;9,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
;;;;;;;700,0;269,0;;;;;;;;2028,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
1800,0;1882,0;;1793,0;10,0;;;1260,0;1312,0;;1913,0;9,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
2319,0;2418,0;;910,0;7,0;;;;;;;;;;;;2027,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
777,0;785,0;;1301,0;11,0;;;;;;;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Haven van Rotterdam;2032,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
740,0;375,0;;20,0;;;;370,0;233,0;;;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;1069,0;922,0;;219,0;;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
370,0;52,0;;20,0;;;;370,0;227,0;;;;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
805,0;788,0;;930,0;5,0;;;680,0;537,0;;774,0;4,0;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
3000,0;1970,0;;1793,0;10,0;;;;;;;;;;;;2031,0;;;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
3900,0;3192,0;;2517,0;22,0;;;2789,0;1945,0;;1994,0;13,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
4500,0;2057,0;;1793,0;10,0;;;;;;;;;;;;2032,0;;;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
;;;;;;;1146,0;960,0;;219,0;;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
2319,0;2945,0;;910,0;7,0;;;;;;;;;;;;2032,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
777,0;855,0;;1301,0;11,0;;;;;;;;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Haven van Rotterdam;2032,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
;;;;;;;700,0;296,0;;;;;;;;2034,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
370,0;269,0;;20,0;;;;370,0;230,0;;;;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
1200,0;1689,0;;1793,0;10,0;;;1260,0;1112,0;;1913,0;9,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
2319,0;2866,0;;910,0;7,0;;;;;;;;;;;;2030,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
1200,0;1860,0;;1793,0;10,0;;;1260,0;1253,0;;1913,0;9,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
;;;;;;;700,0;285,0;;;;;;;;2031,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
3000,0;3743,0;;1339,0;9,0;;;2613,0;3844,0;;1538,0;9,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
3000,0;3420,0;;1339,0;9,0;;;2613,0;3327,0;;1538,0;9,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
;;;;;;;700,0;274,0;;;;;;;;2029,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;700,0;265,0;;;;;;;;2027,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;699,0;885,0;;219,0;;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
;;;;;;;1110,0;673,0;;350,0;3,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Hengelo;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
;;;;;;;1110,0;710,0;;350,0;3,0;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Hengelo;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
3120,0;4008,0;;1339,0;9,0;;;2735,0;4257,0;;1538,0;9,0;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
370,0;313,0;;20,0;;;;370,0;231,0;;;;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;675,0;591,0;;350,0;3,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Hengelo;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
;;;;;;;1110,0;524,0;;774,0;4,0;;;;;2035,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
2319,0;2178,0;;910,0;7,0;;;;;;;;;;;;2026,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
2319,0;2743,0;;910,0;7,0;;;;;;;;;;;;2029,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
