aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_afname;voorspelde_capaciteit_afname;wachtrij_afname;unieke_verzoeken_afname;afname_beperking;afname_tso_limiet;aanwezige_transportcapaciteit_invoeding;benodigde_transportcapaciteit_invoeding;voorspelde_capaciteit_invoeding;wachtrij_invoeding;unieke_verzoeken_invoeding;opwek_beperking;opwek_tso_limiet;start;eind;jaar;kwartaal;info;congestiegebied;jaartal_opgelost_afname;jaartal_opgelost_invoeding;congestie_url
3180,0;4362,0;;1339,0;9,0;;;2976,0;4539,0;;1538,0;9,0;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
1800,0;1914,0;;1793,0;10,0;;;1260,0;1368,0;;1913,0;9,0;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
742,0;513,0;;930,0;5,0;;;376,0;440,0;;774,0;4,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
777,0;816,0;;1301,0;11,0;;;;;;;;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Haven van Rotterdam;2032,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
4500,0;2107,0;;1793,0;10,0;;;;;;;;;;;;2033,0;;;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
1200,0;1731,0;;1793,0;10,0;;;1260,0;1196,0;;1913,0;9,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
;;;;;;;1025,0;712,0;;1304,0;7,0;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Drenthe;;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-drenthe
;;;;;;;700,0;290,0;;;;;;;;2032,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;700,0;393,0;;;;;;;;2026,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
4500,0;2157,0;;1793,0;10,0;;;;;;;;;;;;2034,0;;;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
740,0;376,0;;20,0;;;;370,0;234,0;;;;;;;;2034,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
777,0;855,0;;1301,0;11,0;;;;;;;;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Haven van Rotterdam;2032,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
;;;;;;;1110,0;234,0;;;;;;;;2035,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
1694,0;919,0;;1301,0;11,0;;;;;;;;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Haven van Rotterdam;2032,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
370,0;297,0;;20,0;;;;370,0;231,0;;;;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
370,0;241,0;;20,0;;;;370,0;229,0;;;;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
3900,0;3420,0;;2517,0;22,0;;;2789,0;2121,0;;1994,0;13,0;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
2319,0;3061,0;;910,0;7,0;;;;;;;;;;;;2033,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
2319,0;3195,0;;910,0;7,0;;;;;;;;;;;;2034,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
4140,0;4288,0;;4222,0;35,0;;;;;;;;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
4400,0;4722,0;;4222,0;35,0;;;;;;;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
4400,0;5125,0;;4222,0;35,0;;;;;;;;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
4900,0;5472,0;;4222,0;35,0;;;;;;;;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
4900,0;5946,0;;4222,0;35,0;;;;;;;;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
5400,0;6300,0;;4222,0;35,0;;;;;;;;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
5400,0;6453,0;;4222,0;35,0;;;;;;;;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
5400,0;6618,0;;4222,0;35,0;;;;;;;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
6900,0;6745,0;;4222,0;35,0;;;;;;;;;;;;2034,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
8400,0;6840,0;;4222,0;35,0;;;;;;;;;;;;2035,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
8400,0;6992,0;;4222,0;35,0;;;;;;;;;;;;2036,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland;2036,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;240,0;320,0;;700,0;;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;830,0;529,0;;700,0;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;830,0;526,0;;700,0;;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;830,0;559,0;;700,0;;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;830,0;564,0;;700,0;;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;830,0;617,0;;700,0;;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;830,0;682,0;;700,0;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;830,0;692,0;;700,0;;;;;;2034,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;830,0;705,0;;700,0;;;;;;2035,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;830,0;713,0;;700,0;;;;;;2036,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
;;;;;;;740,0;619,0;;;;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noordoostpolder;;2032,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-flevoland 
;;;;;;;740,0;684,0;;;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noordoostpolder;;2032,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-flevoland 
;;;;;;;740,0;803,0;;;;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noordoostpolder;;2032,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-flevoland 
;;;;;;;740,0;805,0;;;;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noordoostpolder;;2032,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-flevoland 
;;;;;;;740,0;806,0;;;;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noordoostpolder;;2032,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-flevoland 
;;;;;;;740,0;808,0;;;;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noordoostpolder;;2032,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-flevoland 
;;;;;;;1110,0;808,0;;;;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noordoostpolder;;2032,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-flevoland 
1375,0;1255,0;;1164,0;9,0;;;;;;;;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Overijssel;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
1375,0;1355,0;;1164,0;9,0;;;;;;;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Overijssel;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
2011,0;1444,0;;1164,0;9,0;;;;;;;;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Overijssel;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
2011,0;1627,0;;1164,0;9,0;;;;;;;;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Overijssel;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
2011,0;1778,0;;1164,0;9,0;;;;;;;;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Overijssel;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
2161,0;1751,0;;1164,0;9,0;;;;;;;;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Overijssel;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
3271,0;1828,0;;1164,0;9,0;;;;;;;;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Overijssel;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
3271,0;1889,0;;1164,0;9,0;;;;;;;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Overijssel;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
;;;;;;;830,0;669,0;;700,0;;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Holland Noord;;2027,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-holland 
1267,0;922,0;;1177,0;11,0;;;;;;;;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zeeland;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zeeland
1496,0;1232,0;;1177,0;11,0;;;;;;;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zeeland;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zeeland
1496,0;1083,0;;1177,0;11,0;;;;;;;;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zeeland;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zeeland
1496,0;1087,0;;1177,0;11,0;;;;;;;;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zeeland;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zeeland
1496,0;1124,0;;1177,0;11,0;;;;;;;;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zeeland;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zeeland
1496,0;1128,0;;1177,0;11,0;;;;;;;;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zeeland;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zeeland
2017,0;1097,0;;1177,0;11,0;;;;;;;;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zeeland;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zeeland
2017,0;1266,0;;1177,0;11,0;;;;;;;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zeeland;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zeeland
2017,0;1283,0;;1177,0;11,0;;;;;;;;;;;;2034,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zeeland;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zeeland
;;;;;;;700,0;803,0;;1050,0;4,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zwolle Hessenweg;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
;;;;;;;700,0;772,0;;1050,0;4,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zwolle Hessenweg;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
;;;;;;;1051,0;817,0;;1050,0;4,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zwolle Hessenweg;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
;;;;;;;1051,0;860,0;;1050,0;4,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zwolle Hessenweg;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
;;;;;;;1051,0;896,0;;1050,0;4,0;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zwolle Hessenweg;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
;;;;;;;1051,0;851,0;;1050,0;4,0;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Zwolle Hessenweg;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
3271,0;1949,0;;1164,0;9,0;;;;;;;;;;;;2034,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Overijssel;2035,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
;;;;;;;;;;;;;;;;;;;Crayestein;;;
;;;;;;;;;;;;;;;;;;;Groningen 220/20;;;
;;;;;;;;;;;;;;;;;;;Maasvlakte;;;
;;;;;;;;;;;;;;;;;;;Westland;;;
;;;;;;;;;;;;;;;;;;;Musselkanaal;;;
